canonical_tag,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9,synonym10,synonym11,synonym12,synonym13,synonym14,synonym15,synonym16,synonym17,synonym18,synonym19,synonym20,synonym21,synonym22,synonym23,synonym24,synonym25,synonym26,synonym27,synonym28,synonym29,synonym30,synonym31,synonym32,synonym33,synonym34,synonym35,synonym36,synonym37,synonym38,synonym39,synonym40,synonym41,synonym42,synonym43,synonym44,synonym45,synonym46,synonym47,synonym48,synonym49,synonym50,synonym51,synonym52,synonym53,synonym54,synonym55,synonym56,synonym57,synonym58,synonym59,synonym60,synonym61,synonym62,synonym63,synonym64,synonym65,synonym66,synonym67,synonym68,synonym69,synonym70,synonym71,synonym72,synonym73,synonym74,synonym75,synonym76,synonym77,synonym78,synonym79,synonym80,synonym81,synonym82,synonym83,synonym84,synonym85,synonym86,synonym87,synonym88,synonym89,synonym90,synonym91,synonym92,synonym93,synonym94,synonym95,synonym96,synonym97,synonym98,synonym99,synonym100,synonym101,synonym102,synonym103,synonym104,synonym105,synonym106,synonym107,synonym108,synonym109,synonym110,synonym111,synonym112,synonym113,synonym114,synonym115,synonym116,synonym117,synonym118,synonym119,synonym120,synonym121,synonym122,synonym123,synonym124,synonym125,synonym126,synonym127,synonym128,synonym129,synonym130,synonym131,synonym132,synonym133,synonym134,synonym135,synonym136,synonym137,synonym138,synonym139,synonym140,synonym141,synonym142,synonym143,synonym144,synonym145,synonym146,synonym147,synonym148,synonym149,synonym150,synonym151,synonym152,synonym153,synonym154,synonym155,synonym156,synonym157,synonym158,synonym159,synonym160,synonym161,synonym162,synonym163,synonym164,synonym165,synonym166,synonym167,synonym168,synonym169,synonym170,synonym171,synonym172,synonym173,synonym174,synonym175,synonym176,synonym177,synonym178,synonym179,synonym180,synonym181,synonym182,synonym183,synonym184,synonym185,synonym186,synonym187,synonym188,synonym189,synonym190,synonym191,synonym192,synonym193,synonym194,synonym195,synonym196,synonym197,synonym198,synonym199,synonym200,synonym201,synonym202,synonym203,synonym204,synonym205,synonym206,synonym207,synonym208,synonym209,synonym210,synonym211,synonym212,synonym213,synonym214,synonym215,synonym216,synonym217,synonym218,synonym219,synonym220,synonym221,synonym222,synonym223,synonym224,synonym225,synonym226,synonym227,synonym228,synonym229,synonym230,synonym231,synonym232,synonym233,synonym234,synonym235,synonym236,synonym237,synonym238,synonym239,synonym240,synonym241,synonym242,synonym243,synonym244,synonym245,synonym246,synonym247,synonym248,synonym249,synonym250,synonym251,synonym252,synonym253,synonym254,synonym255,synonym256,synonym257,synonym258,synonym259,synonym260,synonym261,synonym262,synonym263,synonym264,synonym265,synonym266,synonym267,synonym268,synonym269,synonym270,synonym271,synonym272,synonym273,synonym274,synonym275,synonym276,synonym277,synonym278,synonym279,synonym280,synonym281,synonym282,synonym283,synonym284,synonym285,synonym286,synonym287,synonym288,synonym289,synonym290,synonym291,synonym292,synonym293,synonym294,synonym295,synonym296,synonym297,synonym298,synonym299,synonym300,synonym301
Dorea Black Potter,Dorea Black,Dorea Black (Peverell),Dorea Black Potter - Mentioned,Dorea Black Potter | Dorea Amarante Poddar,Dorea Helene Potter nee Black,Dorea Potter,Dorea Potter nee Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draco Malfoy,(mention of) Draco Malfoy,(mentioned) Draco Malfoy,a little bit of draco,Alpha Draco Malfoy - Character,Alpha Draco “Dragonet” Lucius Malfoy,Alpha!Guardian!Draco,Animagus!Draco - Character,Baby Draco - Character,baby Draco Malfoy - Character,Blame Draco for prior tag,breif mention of Draco Malfoy,brief Draco Malfoy,Brief Malfoy,Bully Draco Malfoy,C: Draco Malfoy,Clueless!Draco - Character,Darco Malfoy,Deaco Malfoy (mentioned only),dead malfoy haHa,Death Draco Malfoy,Depressed!Draco,Diona Malfoy,Dracaena Malfoy,Draci Malfoy,Draco Abraxas Malfoy,Draco being a ridiculous transparent child he is,Draco Black,draco granger,Draco is a idiot,Draco is a prude,draco is mentioned vaguely,Draco M,Draco M.,Draco M. - Character,Draco Mafloy,Draco Mafoy,Draco Malfang,Draco Malfloy,Draco Malfol,Draco Malfooy,Draco Malfor,Draco Malfory,Draco Malfox,Draco Malfoy (AU),Draco Malfoy (background),Draco Malfoy (brief mentions),Draco Malfoy (brief/mentioned),Draco Malfoy (briefly),Draco Malfoy (for like a second),Draco Malfoy (Gender Bent),Draco Malfoy (in passing),Draco Malfoy (Mentioend),Draco Malfoy (mention),Draco Malfoy (mentioned - kinda; as Artemis),Draco Malfoy (mentioned only),Draco Malfoy (mentioned),Draco Malfoy (mentioned.),Draco Malfoy (mentions),Draco Malfoy (menzionato),Draco Malfoy (minor),Draco Malfoy (Not Seen),Draco Malfoy (off-screen),Draco Malfoy (older),Draco Malfoy (past),Draco Malfoy (Rigel Black Chronicles),Draco Malfoy (unseen),Draco Malfoy (younger),Draco Malfoy - Mention,Draco Malfoy - mentioned,Draco Malfoy - Probable MC,Draco Malfoy Can Be Redeemed,Draco Malfoy Clone,Draco Malfoy is shit,Draco Malfoy mention,Draco Malfoy Mentioned - Character,Draco Malfoy's clone,Draco Malfoy(mention),Draco Malfoy(Mentioned),Draco Malfoy-Potter,Draco Malfoy/Mors,Draco Malfoy| Manestien,Draco Malfroy,Draco Malfy,Draco Malofy,Draco Maloy,Draco mention - Character,Draco Meowfoy,Draco Mlafoy,Draco Molfy,Draco potter,Draco Potter-Malfoy,Draco's Aristocratic Brow,Draco/Mors,DracoM,DracoMalfoy,"Draconian ""Draco"" Lucius Malfoy",Dracos Malfoy mentioned,Draco·Malfoy,Drago Malefoy,Drago Malfoy,Dragon!Tamer Draco,Drco Malfoy,Fem Draco - Character,Fem!Draco Malfoy - Character,Female Draco Malfoy - Character,Female!Draco Malfoy,FreakingAdorable!Draco,Future Draco Malfoy,Genius Draco Malfoy - Character,Ghost Draco Malfoy - Character,GIRL!Draco Malfoy - Character,Good Draco - Character,Gryffindor!Draco - Character,Healer!Draco - Character,Healer!Malfoy - Character,implied Draco Malfoy,Incubus!Draco - Character,Malfoy (Mentioned),Maruhuoi Ryuu aka Japanese Draco,Mention of Draco Malfoy,mentioned Draco,mentioned Draco Malfoy - Character,Merman!Draco Malfoy,Minion!Draco Malfoy,Mixed Draco Malfoy,OMC - Clone Draco/Silver,Papa!Draco - Character,Pirate!Draco Malfoy,PolyjuicedAsPansy!Draco,Pompous Prick Draco Malfoy,Portrait Draco Malfoy,Pretty Rich Boy Draco Malfoy,pretty sure Draco'll be popping by so,Secretly Loves Hermione!Draco,Seeker Draco,Smart Draco Malfoy - Character,Teacher!Draco - Character,Tom Felton as Draco Malfoy,unborn Draco Malfoy,Vampire Draco - Character,Veela!Draco - Character,Vietnamese Draco Malfoy - Character,Viper - Character (Harry Potter),Werewolf Draco - Character,Widower!Draco,Драко,Драко Малфой,мелкий Драко,德拉科,德拉科.马尔福,德拉科·马尔福 - Character,德拉科•马尔福 - Character,德拉科马尔福,马尔福,드레이코 말포이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Druella Rosier Black,Druela Rosier,Druella Black,Druella Black (Harry Potter),Druella Black (mentioned),Druella Black (mentionned),Druella Rosie,Druella Rosier,Mrs Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley Dursley,baby!Dudley Dursley,Dolly Dursley(fem Dudley),Dudley Durlsey,Dudley Durseley,Dudley Dursely,Dudley Dursley (mentioned) - Character,Dudley Dursley - Mentioned,dudley dursley-mentioned,Dudley Dursley/Power Sarge,Dudley Evans,Dudley Griffin Thorson,Dudley Rogers,Dudlsey Dursley,Dudly Dursely,Dudly Dursley,Fem Dudley Dursley,Fem!Dudley Dursley,MagicDudley,Mention of Dudley Dursley,Mentioning of Dudley Dursley,Mentions Dudley Dursley,NiceDudley,Oh My God That's Dudley Dursley,Point of View-Dudley Dursley,protectiveDudley,Queer Dudley Dursley,Дадли Дурсль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dursley Family,brief mention of the Dursleys,despite being with the Dursleys,Durselys,Dursley,Dursley (Harry Potter),Dursley Family,Dursley Family (in all their dubious glory),Dursley's,Dursleyowie,Dursleys (briefly),Dursleys (Mentioned),Dursleys (referenced),Dursleys - Character,I am looking at you Dursleys,mentioned Dursleys',Mr and Mrs Dursley,Petunia i Vernon Dursleyowie,The durlseys,The Dursely's (mentioned),The Durselys,The Dursley (mentioned),The Dursley Family,The Dursley Family (mentioned),The Dursley's,The Dursley's (Minor),The Dursleys,The Dursleys (boo!),the Dursleys (brief mention),The Dursleys (for a bit),The Dursleys (Harry Potter),The Dursleys (mentioned),The Dursleys (Minor Role),The Dursleys - Mentioned,The Dursleys are too irrelevant to this story and nobody cares about them,The Dursley’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eileen Prince,Eileen Price,Eileen Prince (mentioned),Eileen Prince mentioned,Eileen Prince portrait,Eileen Prince Snape,Eileen Prince-Snape - Character,Eileen Snape,Eileen Snape-Prince,Elieen Prince,Ghost Eileen Prince,Ghost Eileen Prince Snape,Ileen Snape,Mentions Eileen Prince,Severus's Mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elphias Doge,Elphias Doge (briefly mentioned),Elphias Doge (mention),Elphias Doge (mentioned),Элфиас Додж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmeline Vance,Emmaline Vance,Emmeline Vance (mentioned),Emmie Vance,Эммелина Вэнс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernie Macmillan,Beta Erine MacMillian,Ernie Macmilan,Ernie Macmillan (mentioned),Ernie Macmillian,Ernie McMillan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphemia Potter,Euphemia Parkinson Potter,Euphimia Potter,Ghost Euphemia Potter,Joan Lupin Potter (James' Mum),Lady Euphemia Potter,Mentions of Euphemia Potter,Mrs Potter (Harry Potter),Mrs Potter - mentioned,Portrait Euphemia Potter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Rosier,Evan Rosier (erwähnt),Evan Rosier (mention),evan rosier bc i needed someone,Evans Rosier,Ивэн Розье,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian Prewett,Fabian Prewett (Harry Potter),Fabian Prewett (mentioned) - Character,Fabian Prewett (mentions),fabian prewett-mentioned,Fabian Prewitt,Ghost Fabian Prewett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenrir Greyback,Alfā Fenrir Greyback,all the bad stuff is by Greyback,But Fenrir is good no worries,Fenfir Greyback,Fenier Greyback,fenir greyback,Fennir Greyback,Fenrir Grayback,Fenrir Greyback (mentioned),Fenrir Greyback mentioned,Fenrir Harmaaselkä,Finer Greyback,Фенрир Грейбэк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filius Flitwick,Filius,Filius Filtwick,Filius Flitwick (mentioned),Filius Flitwick(mentioned),Fillius Flitwick,Finius Flintwick,Flitiwick,Flitwick,Prof. Flitwick,Professor Filius Flitwick,Professor Fillius Flitwick,Professor Flickwick,Professor Flitwick,Professor Flitwick (Mentioned) - Character,Proffesor Flitwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fawkes (Harry Potter),Fawkes (Phoenix),Fawkes the Phoenix,Fawlkes,Feng-Huang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firenze (Harry Potter),Firenze,Firenze (Centaur),Фиоренц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleamont Potter,Fleamont,Fleamont Potter (Deceased),Fleamont Potter (mentioned),Fleatmont Potter,Fleumont Potter,Ghost Fleamont Potter,Henry James Potter,Henry James Potter (Mr. Potter),Lord Fleamont Potter,Mentions of Fleamont Potter,Mr Potter (Harry Potter),Mr Potter Sr.,Mr Potter Sr. (Harry Potter),Mr. Potter Sr.,Portrait Fleamont Potter,Potter Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleur Delacour,Alpha Fleur Delacour,Alpha Fleur “ma Loutre[my Otter]” Isabelle Delacour,Fashion Designer Fleur Delacour,fleu,Fleur Delacoeur,Fleur Delacor Weasley,Fleur Delacour (mentioned),Fleur Delacour (Metioned),Fleur Delacour (Night Succubus),Fleur Delacour Weasley,Fleur Delacour-Weasley,Fleur Delacour/Siren,Fleur Delcour,Fleur Delecour,Fleur Weasley,Fleur Weasley (mentioned),Fleur Weasley née Delacour,Fluer - Character,Fluer Delacour,Fluer Delacour Weasley,Fluer Delacour.,Fluer Weasley,Флер Делакур,Флер Уизли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Longbottom,Frank Longbottom (mention),Frank Longbottom (mentioned),Frank Longbottom mentioned,Frank Longbottom | Franklin Burkhard Longbottom,Frankie Longbottom,Franklin Longbottom,Frankling Sagitarius Langdon ( neville's dad),Mention of Frank Longbottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Weasley,(Dead) Fred Weasley,(Mentioned) Fred Weasley,Alpha Fred Weasly,baby!ghost!Fred,Because....Fred Weasley,Child Fred Weasley,flashback - Fred Weasley,Forge Weasley,Fread Weasley,Fred Malfoy,Fred Watson,Fred Wealsey,Fred Wealsey (mentioned),Fred Weasely,Fred Weasely (mentioned),Fred Weaskey,Fred Weasley (alive),Fred Weasley (briefly),Fred Weasley (Ghost),Fred Weasley (Harry Potter),Fred Weasley (mentioned only),Fred Weasley (mentioned),Fred Weasley (mentions of),Fred Weasley (Portrait),Fred Weasley - mentioned,Fred Weasley - mentioned only,Fred Weasley I,Fred Weasley lived,Fred Weasley mentioned,Fred Weasley the first,Fred Weasley | Rapier,Fred Weasley | Rapier | Rodent,Fred Weasly,Fred Wesley,Frederick Weasley,Ghost Fred Weasley - Character,ghost!Fred - Character,Ghost!Fred Weasley,Mention of Fred Weasley,Mentioned Fred Weasley,Mentioned Fred Weasley - Character,Mentions of Fred Weasley,Minor Fred Weasley,Portrait Fred Weasley - Character,Spirit Fred Weasley,Фред Уизли,弗雷德·韦斯莱,弗雷衛斯理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Squid (Harry Potter),Colossal Squid - Character,Giant Squid,Giant Squid (mentioned),The Giant Squid,The Hogwarts Squid,the Squid,The Squid of Hogwarts Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Weasley II,Fred (II) Weasley,Fred II Weasley,Fred Weasely II,Fred Weasley (II),Fred Weasley 2nd,Fred Weasley II (Mentioned),Fred Weasley jr,Fred Weasly II,Freddie Johnson-Weasley,Freddie Weasley,Freddie Weasley II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabrielle Delacour,Gabriella Delacour,Gabrielle Dealcour,Gabrielle Delacour (mention),Gabrielle Delacour (mentioned only),Omega Gabrielle Delacour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrick Ollivander,Garrick Octavius Ollivander,Garrick Ollivander (mentioned),Mentioned Garrick Ollivander,Mentioned Ollivander,Mr Olivander,Mr. Ollivander,Olivander,Olivander is more than he seems,Olivierander,Ollivander,Ollivander is a kinky old pervert,Ollivanders - Character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
